"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"597","Canterbury",18,587822,"Templeton"
"598","Hawke's Bay",10,545730,"Clive"
"599","West Coast",17,584402,"Karamea"
"600","Counties Manukau",4,524302,"Aorere"
"601","Canterbury",18,592402,"St Albans East"
"602","Canterbury",18,586503,"Kaiapoi West"
"603","Canterbury",18,596504,"Quail Island"
"604","Lakes",6,541311,"Acacia Bay"
"605","Canterbury",18,586501,"Clarkville"
"606","Counties Manukau",4,524302,"Aorere"
"607","Canterbury",18,595700,"Rawhiti"
"608","Northland",1,500402,"Mangapa-Matauri Bay"
"609","Area outside District Health Board",99,619500,"Inlet-Firth of Thames"
"610","West Coast",17,584940,"Haupiri"
"611","Hawke's Bay",10,546500,"Onekawa South"
"612","Waitematā",2,505601,"Waimauku"
"613","Canterbury",18,586124,"Pegasus"
"614","MidCentral",12,562310,"Takaro"
"615","South Canterbury",19,599600,"Watlington"
"616","Southern",22,611210,"Otakaro Park"
"617","Northland",1,501816,"Waipu"
"618","Area outside District Health Board",99,617502,"Tidal-Great Barrier Island"
"619","Capital and Coast",14,573523,"Grenada Village"
"620","Capital and Coast",14,574402,"Ngaio South"
"621","Southern",22,604120,"Belleknowes"
"622","Counties Manukau",4,522604,"Bucklands Beach South"
"623","Nelson Marlborough",16,584201,"Richmond East"
"624","Lakes",6,540420,"Victoria"
"625","Canterbury",18,587847,"Hendersons Basin"
"626","Nelson Marlborough",16,581822,"Brightwater"
"627","Waitematā",2,511001,"Tangutu"
"628","Canterbury",18,585805,"Sefton"
"629","MidCentral",12,560422,"Tokorangi-Hiwinui"
"630","Waitematā",2,513431,"Hobsonville East"
"631","Capital and Coast",14,573802,"Johnsonville East"
"632","Waitematā",2,508120,"Bayswater"
"633","Bay of Plenty",7,542700,"Murupara"
"634","Waikato",5,535232,"Tapapa"
"635","Area outside District Health Board",99,616002,"Inlet-Port Fitzroy"
"636","Waikato",5,533800,"Ngatea"
"637","Canterbury",18,587821,"Paparua"
"638","Canterbury",18,592600,"Edgeware"
